position,season,player_count,avg_salary,max_salary,min_salary,avg_ppg,avg_rpg,avg_apg,avg_spg,avg_bpg,avg_TS_pct,avg_PER,avg_usage_pct,avg_WS,avg_VORP,avg_BPM,season_year
C,2024-25,67,13324205.0,51415938,1157153,10.58,7.04,1.96,0.65,0.96,0.609,17.92,17.95,4.48,1.26,0.95,2024
PG,2024-25,61,17021903.0,55761217,949888,12.57,3.12,4.54,0.95,0.3,0.554,14.65,21.07,3.33,1.06,0.04,2024
PF,2024-25,69,13815518.0,51179020,641962,10.89,4.8,2.07,0.73,0.5,0.577,14.32,18.36,3.11,0.82,-0.17,2024
SG,2024-25,97,10609770.0,50203930,907334,10.92,3.11,2.44,0.86,0.29,0.569,12.89,18.65,2.84,0.59,-0.97,2024
SF,2024-25,59,13166544.0,49205800,782721,11.45,3.97,2.11,0.78,0.4,0.571,13.42,18.81,2.95,0.51,-1.0,2024
C,2023-24,68,11123924.0,47607350,1927896,9.77,6.48,1.88,0.59,0.97,0.622,17.38,17.26,4.45,1.23,0.65,2023
PG,2023-24,61,14909669.0,51915615,1836096,12.43,3.12,4.57,0.87,0.3,0.557,14.69,20.45,3.62,1.15,0.1,2023
PF,2023-24,71,14530593.0,47649433,850000,11.88,4.89,2.17,0.67,0.53,0.579,14.48,19.16,3.34,0.84,-0.45,2023
SG,2023-24,77,9725281.0,46741590,683430,11.33,3.05,2.64,0.75,0.33,0.569,12.94,19.25,2.69,0.62,-0.99,2023
SF,2023-24,78,10471629.0,45640084,1459782,9.95,3.63,1.91,0.71,0.39,0.565,12.15,17.45,2.59,0.35,-1.55,2023
PG,2022-23,61,16242852.0,48070014,1280206,13.16,3.2,4.79,0.93,0.29,0.553,14.86,21.37,3.39,1.18,0.22,2022
C,2022-23,73,10227400.0,38172414,52644,10.1,6.53,1.63,0.56,0.89,0.627,17.51,17.54,4.4,1.14,0.5,2022
PF,2022-23,69,11239105.0,44474988,1017781,11.0,4.83,1.98,0.64,0.47,0.578,14.03,18.25,3.21,0.79,-0.42,2022
SG,2022-23,86,9578019.0,43279250,1017781,11.6,2.9,2.53,0.74,0.27,0.568,12.82,19.63,2.58,0.52,-1.17,2022
SF,2022-23,69,10083394.0,42492492,555402,11.25,3.88,1.95,0.75,0.33,0.568,12.34,17.97,2.88,0.51,-1.22,2022
